train_acc,train_loss,val_acc,val_loss
0.7241000000000001,0.91348743,0.8512025316455695,0.4418404
0.85627,0.4179962,0.8679746835443037,0.38204467
0.8716600000000001,0.36536962,0.8800000000000001,0.34129268
0.8786499999999999,0.33795002,0.8803164556962025,0.33704743
0.88446,0.31862712,0.8790506329113925,0.31980255
0.88975,0.30273512,0.885253164556962,0.32474422
0.89325,0.2907967,0.88873417721519,0.31016806
0.8958,0.2807874,0.889620253164557,0.30842113
0.89906,0.27034444,0.8949999999999998,0.30047402
0.9013700000000001,0.2611626,0.8890506329113925,0.31322408
0.90475,0.25319496,0.8887341772151898,0.30517405
0.9055899999999999,0.24665688,0.8912025316455696,0.30370992
0.9086900000000001,0.23849146,0.8955063291139241,0.30059665
0.9114800000000001,0.23206271,0.8901898734177216,0.31281802
0.91317,0.22386275,0.8920886075949368,0.3031734
0.91496,0.21854948,0.8923417721518988,0.31092766
0.91664,0.21208084,0.8930379746835444,0.30547458
0.91923,0.20453405,0.8903797468354429,0.32924855
0.9212100000000001,0.19936933,0.8902531645569621,0.3228052
0.92263,0.19262166,0.8864556962025316,0.34153143
0.9246599999999999,0.18717773,0.8872151898734177,0.34896564
0.92692,0.18115295,0.8851265822784812,0.34993637
0.92953,0.17520724,0.8884177215189872,0.33066413
0.9313199999999999,0.1692937,0.8879113924050634,0.3585885
0.9342299999999999,0.163571,0.8883544303797469,0.36468473
0.9356199999999999,0.15831248,0.8869620253164556,0.37539306
0.93875,0.15130217,0.882974683544304,0.38749564
0.9393199999999999,0.14627883,0.8855696202531647,0.38813445
0.9413899999999998,0.1425087,0.8853164556962027,0.40246895
0.94479,0.13536774,0.8831012658227848,0.39730713
0.94586,0.13219452,0.8837341772151899,0.40156353
0.94864,0.12613924,0.884873417721519,0.42631665
0.9504699999999999,0.12170783,0.8858227848101264,0.44470146
0.9517499999999999,0.117021665,0.879746835443038,0.47603694
0.95301,0.113703735,0.880759493670886,0.4816428
0.9564300000000001,0.1082077,0.8796835443037975,0.47572747
0.95651,0.10601482,0.8764556962025317,0.5014773
0.95928,0.10143765,0.8817088607594937,0.5202106
0.96061,0.09673544,0.8815189873417724,0.5321353
0.9623599999999999,0.09377293,0.8762025316455698,0.54199463
0.9620599999999999,0.0924809,0.8785443037974684,0.56795084
0.96454,0.086922385,0.8785443037974684,0.5604085
0.96607,0.08489306,0.8739240506329113,0.60291123
0.96723,0.08307201,0.880379746835443,0.6044913
0.9690300000000001,0.07830374,0.8765822784810127,0.60787797
0.96776,0.081307806,0.8784810126582279,0.58670443
0.9693800000000001,0.07645425,0.8781645569620253,0.6225773
0.9715000000000001,0.071651645,0.8781012658227847,0.6541963
0.97148,0.07066482,0.879620253164557,0.6554629
0.97227,0.070904896,0.8798734177215188,0.69332975
